H (A/m),T (K),File,cluster_ae,cluster_vae
381971.8632126126,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0049.vti,5,0
389929.6103628754,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0050.vti,5,0
397887.3575131382,2280.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2280.0/fields_0051.vti,5,0
0.0,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0001.vti,4,3
7957.747150262763,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0002.vti,4,3
15915.49430052553,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0003.vti,4,3
23873.24145078829,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0004.vti,4,3
31830.98860105105,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0005.vti,4,3
39788.73575131382,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0006.vti,4,3
47746.48290157657,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0007.vti,4,3
55704.23005183935,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0008.vti,4,3
63661.97720210211,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0009.vti,4,3
71619.72435236486,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0010.vti,4,3
79577.47150262764,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0011.vti,4,3
87535.2186528904,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0012.vti,4,3
95492.96580315314,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0013.vti,4,3
103450.7129534159,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0014.vti,4,3
111408.4601036787,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0015.vti,4,3
119366.2072539414,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0016.vti,4,3
127323.9544042042,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0017.vti,4,3
135281.701554467,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0018.vti,4,3
143239.4487047297,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0019.vti,4,4
